Id,PostId,Score,CreationDate,UserId,ContentLicense
207,194,0,2015-01-28T23:58:48.207,100,CC BY-SA 3.0
208,189,2,2015-01-29T01:20:16.973,98,CC BY-SA 3.0
211,204,0,2015-01-29T02:08:57.280,19,CC BY-SA 3.0
212,197,2,2015-01-29T02:11:45.007,19,CC BY-SA 3.0
213,179,1,2015-01-29T02:14:14.203,19,CC BY-SA 3.0
215,161,2,2015-01-29T03:54:45.610,17,CC BY-SA 3.0
218,194,0,2015-01-29T05:24:24.787,100,CC BY-SA 3.0
220,161,0,2015-01-29T10:07:31.497,145,CC BY-SA 3.0
221,181,1,2015-01-29T11:46:46.417,52,CC BY-SA 3.0
223,221,5,2015-01-29T14:27:25.077,24,CC BY-SA 3.0
224,221,0,2015-01-29T15:03:34.397,34,CC BY-SA 3.0
225,221,1,2015-01-29T15:13:33.147,141,CC BY-SA 3.0
227,221,0,2015-01-29T15:35:27.753,124,CC BY-SA 3.0
228,221,0,2015-01-29T15:37:01.833,141,CC BY-SA 3.0
229,221,0,2015-01-29T15:38:07.773,124,CC BY-SA 3.0
230,165,1,2015-01-29T15:52:48.873,68,CC BY-SA 3.0
231,211,0,2015-01-29T15:58:51.453,52,CC BY-SA 3.0
234,222,2,2015-01-29T16:30:17.153,101,CC BY-SA 3.0
235,222,2,2015-01-29T16:37:03.150,52,CC BY-SA 3.0
236,225,0,2015-01-29T16:44:09.490,31,CC BY-SA 3.0
237,225,0,2015-01-29T16:55:22.823,31,CC BY-SA 3.0
239,225,0,2015-01-29T17:00:01.570,101,CC BY-SA 3.0
240,219,1,2015-01-29T17:02:46.540,101,CC BY-SA 3.0
241,225,0,2015-01-29T17:04:48.317,31,CC BY-SA 3.0
242,224,0,2015-01-29T17:23:14.533,37,CC BY-SA 3.0
243,224,0,2015-01-29T17:23:46.390,37,CC BY-SA 3.0
246,219,0,2015-01-29T17:42:54.400,8,CC BY-SA 3.0
248,196,0,2015-01-29T19:24:01.620,76,CC BY-SA 3.0
249,82,0,2015-01-29T19:26:49.430,91,CC BY-SA 3.0
250,228,4,2015-01-29T19:46:14.953,37,CC BY-SA 3.0
251,238,1,2015-01-29T20:11:10.913,76,CC BY-SA 3.0
252,238,0,2015-01-29T20:17:18.683,18,CC BY-SA 3.0
253,238,0,2015-01-29T20:23:10.213,76,CC BY-SA 3.0
254,236,1,2015-01-29T21:21:24.270,127,CC BY-SA 3.0
255,211,0,2015-01-29T21:30:36.543,127,CC BY-SA 3.0
256,179,1,2015-01-29T21:35:59.227,2,CC BY-SA 3.0
258,193,1,2015-01-29T21:45:05.687,78,CC BY-SA 3.0
259,236,0,2015-01-29T21:48:10.800,137,CC BY-SA 3.0
260,238,0,2015-01-29T21:48:13.250,18,CC BY-SA 3.0
261,238,0,2015-01-29T21:55:07.497,76,CC BY-SA 3.0
262,221,1,2015-01-29T22:03:12.823,185,CC BY-SA 3.0
263,244,0,2015-01-29T22:24:09.030,179,CC BY-SA 3.0
264,213,0,2015-01-29T22:25:17.930,179,CC BY-SA 3.0
266,43,1,2015-01-29T22:45:06.457,76,CC BY-SA 3.0
267,186,0,2015-01-29T22:46:44.050,18,CC BY-SA 3.0
268,186,0,2015-01-29T22:49:36.770,76,CC BY-SA 3.0
270,43,0,2015-01-29T23:15:42.850,48,CC BY-SA 3.0
271,221,0,2015-01-29T23:38:58.873,25,CC BY-SA 3.0
272,250,0,2015-01-29T23:41:00.350,76,CC BY-SA 3.0
274,189,0,2015-01-29T23:52:52.957,169,CC BY-SA 3.0
277,179,1,2015-01-30T01:18:50.170,19,CC BY-SA 3.0
278,221,0,2015-01-30T01:19:33.013,179,CC BY-SA 3.0
279,179,3,2015-01-30T01:22:31.690,2,CC BY-SA 3.0
280,224,0,2015-01-30T03:57:04.507,31,CC BY-SA 3.0
281,221,0,2015-01-30T08:07:20.260,201,CC BY-SA 3.0
283,228,0,2015-01-30T09:21:18.277,125,CC BY-SA 3.0
291,241,1,2015-01-30T13:57:13.600,101,CC BY-SA 3.0
292,241,0,2015-01-30T13:59:35.843,8,CC BY-SA 3.0
295,221,0,2015-01-30T14:31:17.537,141,CC BY-SA 3.0
298,221,0,2015-01-30T15:17:12.773,132,CC BY-SA 3.0
299,221,1,2015-01-30T15:23:39.633,185,CC BY-SA 3.0
