Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
347,70,3,2015-01-28T00:00:00.000,,
348,85,2,2015-01-28T00:00:00.000,,
349,83,10,2015-01-28T00:00:00.000,,
350,87,2,2015-01-28T00:00:00.000,,
351,84,2,2015-01-28T00:00:00.000,,
352,70,2,2015-01-28T00:00:00.000,,
353,73,2,2015-01-28T00:00:00.000,,
354,76,2,2015-01-28T00:00:00.000,,
355,85,2,2015-01-28T00:00:00.000,,
356,78,2,2015-01-28T00:00:00.000,,
357,74,3,2015-01-28T00:00:00.000,,
358,38,2,2015-01-28T00:00:00.000,,
359,45,2,2015-01-28T00:00:00.000,,
360,42,2,2015-01-28T00:00:00.000,,
361,50,3,2015-01-28T00:00:00.000,,
362,36,2,2015-01-28T00:00:00.000,,
363,55,2,2015-01-28T00:00:00.000,,
364,74,10,2015-01-28T00:00:00.000,,
365,91,2,2015-01-28T00:00:00.000,,
367,81,2,2015-01-28T00:00:00.000,,
368,19,2,2015-01-28T00:00:00.000,,
370,28,2,2015-01-28T00:00:00.000,,
371,91,2,2015-01-28T00:00:00.000,,
373,39,2,2015-01-28T00:00:00.000,,
374,58,2,2015-01-28T00:00:00.000,,
375,41,2,2015-01-28T00:00:00.000,,
376,100,2,2015-01-28T00:00:00.000,,
377,6,16,2015-01-28T00:00:00.000,,
378,6,2,2015-01-28T00:00:00.000,,
379,11,2,2015-01-28T00:00:00.000,,
380,99,16,2015-01-28T00:00:00.000,,
382,96,2,2015-01-28T00:00:00.000,,
383,99,2,2015-01-28T00:00:00.000,,
384,102,2,2015-01-28T00:00:00.000,,
385,24,2,2015-01-28T00:00:00.000,,
386,1,2,2015-01-28T00:00:00.000,,
387,99,2,2015-01-28T00:00:00.000,,
388,46,2,2015-01-28T00:00:00.000,,
389,72,2,2015-01-28T00:00:00.000,,
390,61,2,2015-01-28T00:00:00.000,,
391,98,2,2015-01-28T00:00:00.000,,
392,99,2,2015-01-28T00:00:00.000,,
393,102,2,2015-01-28T00:00:00.000,,
394,86,2,2015-01-28T00:00:00.000,,
395,90,2,2015-01-28T00:00:00.000,,
396,81,2,2015-01-28T00:00:00.000,,
397,100,2,2015-01-28T00:00:00.000,,
398,103,2,2015-01-28T00:00:00.000,,
399,94,2,2015-01-28T00:00:00.000,,
400,94,5,2015-01-28T00:00:00.000,15,
401,79,2,2015-01-28T00:00:00.000,,
402,52,2,2015-01-28T00:00:00.000,,
403,52,5,2015-01-28T00:00:00.000,15,
407,110,1,2015-01-28T00:00:00.000,,
408,110,2,2015-01-28T00:00:00.000,,
409,82,2,2015-01-28T00:00:00.000,,
410,71,2,2015-01-28T00:00:00.000,,
411,85,2,2015-01-28T00:00:00.000,,
412,90,2,2015-01-28T00:00:00.000,,
413,105,2,2015-01-28T00:00:00.000,,
414,66,16,2015-01-28T00:00:00.000,,
415,109,2,2015-01-28T00:00:00.000,,
417,61,2,2015-01-28T00:00:00.000,,
418,107,2,2015-01-28T00:00:00.000,,
419,110,2,2015-01-28T00:00:00.000,,
420,94,2,2015-01-28T00:00:00.000,,
421,99,2,2015-01-28T00:00:00.000,,
422,102,2,2015-01-28T00:00:00.000,,
423,89,2,2015-01-28T00:00:00.000,,
424,112,2,2015-01-28T00:00:00.000,,
425,90,2,2015-01-28T00:00:00.000,,
426,100,2,2015-01-28T00:00:00.000,,
427,105,2,2015-01-28T00:00:00.000,,
428,99,2,2015-01-28T00:00:00.000,,
429,102,2,2015-01-28T00:00:00.000,,
430,70,2,2015-01-28T00:00:00.000,,
431,70,5,2015-01-28T00:00:00.000,125,
432,70,2,2015-01-28T00:00:00.000,,
433,85,2,2015-01-28T00:00:00.000,,
434,76,2,2015-01-28T00:00:00.000,,
435,71,2,2015-01-28T00:00:00.000,,
436,82,2,2015-01-28T00:00:00.000,,
437,68,2,2015-01-28T00:00:00.000,,
438,77,2,2015-01-28T00:00:00.000,,
439,80,2,2015-01-28T00:00:00.000,,
440,69,2,2015-01-28T00:00:00.000,,
441,52,2,2015-01-28T00:00:00.000,,
442,114,10,2015-01-28T00:00:00.000,,
444,113,2,2015-01-28T00:00:00.000,,
445,116,2,2015-01-28T00:00:00.000,,
446,118,2,2015-01-28T00:00:00.000,,
447,117,2,2015-01-28T00:00:00.000,,
448,113,2,2015-01-28T00:00:00.000,,
449,110,2,2015-01-28T00:00:00.000,,
450,102,2,2015-01-28T00:00:00.000,,
451,109,2,2015-01-28T00:00:00.000,,
452,19,2,2015-01-28T00:00:00.000,,
453,13,2,2015-01-28T00:00:00.000,,
454,100,2,2015-01-28T00:00:00.000,,
455,22,2,2015-01-28T00:00:00.000,,
456,105,2,2015-01-28T00:00:00.000,,
457,117,2,2015-01-28T00:00:00.000,,
458,98,2,2015-01-28T00:00:00.000,,
459,117,1,2015-01-28T00:00:00.000,,
460,102,2,2015-01-28T00:00:00.000,,
461,99,2,2015-01-28T00:00:00.000,,
463,11,2,2015-01-28T00:00:00.000,,
464,122,2,2015-01-28T00:00:00.000,,
465,78,2,2015-01-28T00:00:00.000,,
466,37,2,2015-01-28T00:00:00.000,,
467,123,2,2015-01-28T00:00:00.000,,
468,14,2,2015-01-28T00:00:00.000,,
469,123,2,2015-01-28T00:00:00.000,,
470,58,2,2015-01-28T00:00:00.000,,
471,58,5,2015-01-28T00:00:00.000,10,
472,53,2,2015-01-28T00:00:00.000,,
473,80,2,2015-01-28T00:00:00.000,,
474,81,2,2015-01-28T00:00:00.000,,
475,52,2,2015-01-28T00:00:00.000,,
476,123,2,2015-01-28T00:00:00.000,,
477,116,2,2015-01-28T00:00:00.000,,
478,118,2,2015-01-28T00:00:00.000,,
479,109,2,2015-01-28T00:00:00.000,,
480,41,2,2015-01-28T00:00:00.000,,
481,99,2,2015-01-28T00:00:00.000,,
482,102,2,2015-01-28T00:00:00.000,,
483,89,2,2015-01-28T00:00:00.000,,
484,129,2,2015-01-28T00:00:00.000,,
485,129,2,2015-01-28T00:00:00.000,,
486,124,2,2015-01-28T00:00:00.000,,
487,124,3,2015-01-28T00:00:00.000,,
488,102,1,2015-01-28T00:00:00.000,,
490,103,2,2015-01-28T00:00:00.000,,
491,102,2,2015-01-28T00:00:00.000,,
492,127,2,2015-01-28T00:00:00.000,,
493,130,2,2015-01-28T00:00:00.000,,
494,125,2,2015-01-28T00:00:00.000,,
495,130,2,2015-01-28T00:00:00.000,,
496,125,2,2015-01-28T00:00:00.000,,
497,131,2,2015-01-28T00:00:00.000,,
498,133,2,2015-01-28T00:00:00.000,,
499,124,2,2015-01-28T00:00:00.000,,
500,135,2,2015-01-28T00:00:00.000,,
501,19,1,2015-01-28T00:00:00.000,,
502,135,2,2015-01-28T00:00:00.000,,
503,124,2,2015-01-28T00:00:00.000,,
504,121,2,2015-01-28T00:00:00.000,,
505,78,2,2015-01-28T00:00:00.000,,
506,135,2,2015-01-28T00:00:00.000,,
507,135,1,2015-01-28T00:00:00.000,,
508,135,2,2015-01-28T00:00:00.000,,
509,124,2,2015-01-28T00:00:00.000,,
